Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
www.resortwebmarketing.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.geocities.com,0,0,/luvhavencats/,0,http,0,0,0,2,0,2,0,0,0,0,2
www.superwebsitepromotion.com,0,0,/,0,http,0,0,0,1,1,1,0,0,1,0,1
www.uvm.edu,0,0,/~service/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.sitelynx.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,1,2
www.dummysoftware.com,0,0,/clockdummy.html,0,http,0,2,0,2,0,2,0,0,0,0,2
adadaadjaldkadlhadlsajlshsaah.blogspot.com,0,0,/,0,http,0,0,0,1,1,1,0,1,0,1,1
www.furrmine.com,0,0,,0,http,0,0,0,1,1,1,0,0,1,0,1
mobile-free.kofoed-fr.com,0,0,/Compte/93843687342927348376/8325682376834768237648/92029/d6b56/moncompte/,1,http,0,0,1,1,1,1,0,1,1,0,1
www.singlethrow.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.nnordson.com,0,0,/%7b%7d/1ccc2a9663830e10a51f54c41ff20bfd/,0,http,0,0,2,1,1,1,0,1,1,0,1
zovermedical.com.sa,0,0,/okla/aptgd/,0,http,0,0,0,1,0,1,0,1,0,0,1
www.nanotechnopolis.com,0,0,/viewdocs/216a90999c44c5fba9a4df02e696bd37/,0,http,0,0,2,0,0,1,0,1,0,0,1
portalfgts.com,0,0,/caixa.gov.br/pages/inter/index.php,0,http,0,1,2,1,1,1,0,1,1,0,1
www.adsensemart.com,0,0,/dp/ayo1/ayo1/,0,http,0,0,0,1,1,1,0,1,0,1,1
bit.ly,0,0,/2oPEpec,0,http,0,0,0,1,0,1,0,1,0,1,0
www.arenel.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
www.hollowhill.com,0,0,/gm/library/frees.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
unione-ae.com,0,0,/gallery/Purchase/googledrive.php,1,http,0,0,0,0,0,1,0,1,0,0,1
wpcgwadar.com,0,0,/Mayor/Wm.php,0,http,0,0,0,1,1,1,0,1,1,0,1
halpcenter-acontscheck.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1
radiocatolicalaconsentida.com,1,0,/funciones/oba/DHLAUTO/DHLAUTO/DHL%20AUTO/dhl.php,0,http,0,1,1,0,0,1,0,1,0,0,1
www.ozemail.com.au,0,0,/~ebunny,0,http,0,2,0,1,0,1,0,0,0,0,2
nnconsultoria.com.br,0,0,/Atendimento.Pessoa.Fisica82/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1
system-support-il.hol.es,0,0,/facebook-security,1,http,0,0,0,1,0,1,0,1,1,0,1
pages-5566.hol.es,0,0,/log1.php,1,http,0,2,0,1,1,1,0,1,1,0,1
www.hotelcaucasia.com,0,0,/login.php,0,http,0,2,1,0,0,1,0,1,0,0,1
support-5560.hol.es,0,0,/confirmation,1,http,0,0,0,1,1,1,0,1,1,0,1
www.redzoneglobal.net,0,0,/,0,http,0,0,0,1,1,1,0,0,1,0,1
www.kenyabirds.org.uk,0,0,/flamingo_l.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
staticmail.000webhostapp.com,0,0,/,0,https,0,0,0,0,0,0,0,1,0,0,0
www.awn.com,0,0,/mag/issue2.7/2.7pages/2.7jacksonjones.html,0,http,0,1,2,0,0,1,0,0,0,0,0
www.emba.uvm.edu,0,0,/~cssa/,0,http,0,2,0,1,0,1,0,0,0,0,0
secure.saginawheadstart.org,0,0,/myaccount/,0,https,0,0,0,0,0,1,0,1,1,0,1
www.nnordson.com,0,0,/%7b%7d/fe81304e4ba595a0538731019149d319/,0,http,0,0,2,1,1,1,0,1,1,0,1
bioweb.uwlax.edu,0,0,/bio203/s2008/kops_aman/,0,http,0,0,0,1,0,1,0,0,0,0,0
ginatringali.com,0,0,//al/alibaba21012015/alibaba21012015/666/index.html,0,http,1,0,2,0,0,0,0,1,1,0,1
zdcp.org,0,0,/iiii/feedback/login.alibaba.com/login.html,0,http,0,1,2,1,0,1,0,1,1,0,1
www.bbc.co.uk,0,0,/nature/wildfacts/factfiles/3104.shtml,0,http,0,1,2,2,0,2,0,0,0,0,0
www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
www.altrixsoft.com,0,0,,0,http,0,0,0,2,0,2,0,0,0,1,2
www.adelie.pwp.blueyonder.co.uk,0,0,/,0,http,0,1,0,0,0,0,0,0,0,0,2
mansfield.emba.uvm.edu,0,0,/~douglas/,0,http,0,2,0,1,0,1,0,0,0,0,0
www.nenature.com,0,0,/yellowbelliedsapsucker.htm,0,http,0,2,0,0,0,0,0,0,0,0,2
primoframe.com,0,0,/Scott/,0,http,0,0,0,0,0,1,0,1,0,0,1
www.joels-journal.com,0,0,/,1,http,0,0,0,2,0,2,0,0,0,0,1
www.crielv.com.br,0,0,/images/start2.php,0,http,0,1,0,1,0,1,0,1,0,0,1
www.sierrabreeze.com,0,0,,0,http,0,0,0,0,0,0,0,0,0,0,1
acct-cover-0899812.esy.es,0,0,/index.html,1,http,0,2,0,1,1,1,0,1,1,0,1
www.birds.cornell.edu,0,0,/allaboutbirds/birdguide/red-bellied_woodpecker_dtl.html,0,http,0,1,1,1,0,1,0,0,0,0,0
www.prize.life,0,0,/libraries/joomla/cp.php,0,http,0,2,0,1,1,1,0,1,0,0,1
www.southerncomfortmechanical.ca,0,0,/confirmation-account/information-account.updates/webapps/2f93a/websrc,0,http,0,2,1,0,0,1,0,1,0,0,1
caixa.consultafgtsinativoliberado2017.com,0,0,/consulta4023542/indisponivel.php,0,http,0,2,1,0,0,1,0,1,1,0,1
mzansinet.co.za,0,0,/log/all/d/DHL%20AUTO/,0,http,0,0,0,1,0,1,0,1,0,1,1
yeusinhly.com.vn,0,0,/themes/in.php,0,http,0,2,0,1,1,1,0,1,0,0,1
acct-recover7895345.esy.es,0,0,/index.html,1,http,0,2,0,1,1,1,0,1,1,0,1
octopus.gma.org,0,0,/surfing/antarctica/penguin.html,0,http,0,2,2,0,0,1,0,0,0,0,2
imnh.isu.edu,0,0,/digitalatlas/bio/birds/wdpkrs/wisa/wisa_mai.htm,0,http,0,2,2,1,0,1,0,0,0,0,0
michiganlegacyrun.org,0,0,/wp-includes/images/media/docs/1f5b3affcbd626772a3bb23d1cbae1b9/,0,http,0,0,1,2,0,2,0,1,1,0,1
herballineteam.eu,0,0,/components/com_content/views/article/tmpl/Suntrust1/Suntrust/Suntrust/Suntrust/Suntrust/Suntrust/SunTrust -Online Banking.htm,0,https,0,0,1,1,0,1,0,1,1,0,1
store2.apple.ch.email-forwarding.webstore.websis.info,0,0,/de/,1,http,0,1,2,0,0,1,0,1,1,0,1
vcsolutionscorp.com,0,0,/Block/image.htm,0,http,0,0,0,0,0,1,0,1,0,0,1
tinyurl.com,0,0,/lyol54j,0,http,0,0,0,0,0,0,0,1,0,1,0
privatewebschool.esy.es,0,0,/Mafioz0o_v1/,0,http,0,0,0,1,1,1,0,1,1,0,1
www.avesphoto.com,0,0,/website/na/species/petbcp-2.htm,0,http,0,2,2,2,0,2,0,0,0,0,1
mobile-free.metulwx.com,0,0,/mobile/impaye/74b3256454ac92ff371620778f69eb18/,1,http,0,0,1,0,0,1,0,1,0,1,1
www.mir-holoda.by,0,0,/price.files/match.html,1,http,0,1,0,1,0,1,0,1,0,0,2
www.snaphelp.byethost18.com,0,0,,0,http,0,2,0,0,0,1,0,1,0,0,2
www.lineyuy.cn,0,0,/,0,http,0,0,0,1,0,1,0,1,0,0,1
pages-5564.hol.es,0,0,/facebook-security,1,http,0,0,0,1,1,1,0,1,1,0,1
jobduties.org,0,0,/boj/bmg/,0,http,0,0,0,0,0,1,0,1,0,0,2
www.audiolinks.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
siyacom.net,0,0,/listoforderitemsneededforurgentsupply/cgi-bin/fomfix/form/,0,http,0,0,1,2,0,1,0,1,0,0,1
www.uvm.edu,0,0,/~learnco/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.itikat.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,1
mobile-free.kofoed-fr.com,0,0,/Compte/93843687342927348376/8325682376834768237648/92029/da9cc/moncompte/,1,http,0,0,1,1,1,1,0,1,1,0,1
ridinghouseindia.com,0,0,/ywhl/Y%20index.html,0,http,0,0,0,0,0,1,0,1,0,0,1
us.imdb.com,0,0,/name/nm0004951/,0,http,0,0,0,2,0,2,0,0,0,0,0
www.geocities.com,0,0,/demiaracats/cattery.html,0,http,0,2,0,2,0,2,0,0,0,0,2
www.searchanalysts.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
simnokomun.lt,0,0,/upload/omo/newgd2/newgd/moole/index.php,0,http,0,0,2,1,0,1,0,1,0,0,1
www.geocities.com,0,0,/angelpawscattery2003/index.html,0,http,0,2,2,2,0,2,0,0,0,0,2
emailbradesco.esy.es,0,0,/mail/mobile/app/thmpv.php,0,http,0,2,2,1,1,1,0,1,1,0,1
sac-uol-conteudo.byethost15.com,0,0,/www.sac.uol.com.br/pagamento2/,1,http,0,1,2,0,0,1,0,1,0,0,2
www.podiums.co.uk,0,0,/,0,http,0,2,0,0,0,1,0,0,0,0,1
www.seabirding.com,0,0,/bpiimage.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
www.bsgodenderleeuw.be,0,0,/ikoi.php,0,http,0,2,0,1,0,1,0,1,0,0,1
stchartered.com,0,0,/images/adb/,0,http,0,0,0,2,0,2,0,1,0,0,1
loogin-facebook-checkpoin7888.esy.es,0,0,/confirmation/,1,http,0,0,2,1,1,1,0,1,1,0,1
ctrl4enviro.com,1,0,/wp-includes/SimplePie/Content/Type/Caption/Pelewura/onlineverifica@tion/Preview.htm,0,http,0,0,1,0,0,1,0,1,0,0,1
www.nestersoft.com,0,0,/timeleft/,0,http,0,0,0,0,0,1,0,0,0,1,2
www.pellicole-adesive.com,0,0,/logs/public/,1,https,0,0,0,2,0,2,0,1,0,0,1
www.facebooknotsz.gq,0,0,/f4/123456.mob,0,http,0,2,0,1,1,1,0,1,1,0,1
goo.gl,0,0,/MMT7sp,0,https,0,0,0,1,0,1,0,1,0,1,0
www.rankuno.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,2
planeta.terra.com.br,0,0,/lazer/gatilmiragem,0,http,0,2,0,1,0,1,0,0,0,0,0
www.armory.com,0,0,/~keeper/jesshirt.html,0,http,0,2,0,0,0,0,0,0,0,0,2
www.elprime.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.gamebeatinc.com,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
www.clubspooey.com,0,0,/spooey/,0,http,0,0,0,0,0,1,0,0,0,0,1
security-update-center.serverlux.me,0,0,/signin/,1,https,0,2,2,0,0,1,0,1,0,0,1
www.fahwonmai.tv,0,0,/sites/all/databases/index.php,0,http,0,2,0,2,0,0,0,1,0,0,2
www.kenyabirds.org.uk,0,0,/d_barbet.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
